PACKAGE,Farmer_number,SEX,MS,EDU,FARMER.TYPE,Coordite,COMMUNITY.ME,LGA,SETORIAL.ZONE,STATE,geno_Trait,Trait
Package#147,67,F,Married,SSCE,,5'6261916N 7'3091022E,Umualumaku,Ehime Mbano,Okigwe,Imo,,Best_GarEaseP12
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Best_Ovi1
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Ovi1
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Ovi1
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Best_Germ1
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Germ1
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Germ1
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Best_Pgwt1
Package#114,33,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Pgwt1
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Pgwt1
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Pgwt1
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Best_SuitSE1
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_SuitSE1
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_SuitSE1
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Ovi3
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Ovi3
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_Ovi3
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Ovi3
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Ovi3
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Ovi3
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Best_Sprout3
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Sprout3
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Sprout3
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Sprout3
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Sprout3
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Pgwt3
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Pgwt3
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Pgwt3
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_Pgwt3
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Pgwt3
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Pgwt3
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Canopy3
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Canopy3
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_Canopy3
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Canopy3
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Best_Branch3
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Best_Branch3
Package#114,33,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Branch3
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Branch3
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Branch3
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Branch3
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Disease3
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Disease3
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_Disease3
Package#114,33,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Disease3
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Disease3
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Earlybulk3
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Earlybulk3
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Earlybulk3
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_Earlybulk3
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Earlybulk3
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Earlybulk3
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Ovi6
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Ovi6
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Ovi6
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Ovi6
Package#114,33,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Ovi6
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Ovi6
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Ovi6
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Sprout6
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_Sprout6
